9.93	-12.25	-1.34306
9.93	-12.75	-0.211616
9.93	-13.25	-0.650171
9.93	-13.75	-1.13632
9.93	-14.25	-1.10081
9.93	-14.75	-1.38914
9.93	-15.25	-1.64898
9.93	-15.75	-1.75363
9.93	-16.25	-2.03986
9.93	-16.75	-2.20678
9.93	-17.25	-2.57245
9.93	-17.75	-2.7573
9.93	-18.25	-3.11175
9.93	-18.75	-3.37745
9.93	-19.25	-3.5763
9.93	-19.75	-3.96852
9.93	-20.25	-4.77208
9.93	-20.75	-5.16908
9.93	-21.25	-5.71112
9.93	-21.75	-6.57413
9.93	-22.25	-8.2147
9.93	-22.75	-9.68193
9.93	-23.25	-11.6962
9.93	-23.75	-11.9642
