5.05	-10.25	0.322172
5.05	-10.75	-0.0759262
5.05	-11.25	-0.152784
5.05	-11.75	-0.0533336
5.05	-12.25	-0.50587
5.05	-12.75	-0.756559
5.05	-13.25	-0.754813
5.05	-13.75	-0.934942
5.05	-14.25	-1.27123
5.05	-14.75	-1.19933
5.05	-15.25	-1.29171
5.05	-15.75	-1.56053
5.05	-16.25	-1.60143
5.05	-16.75	-1.95519
5.05	-17.25	-1.993
5.05	-17.75	-2.04054
5.05	-18.25	-2.31737
5.05	-18.75	-2.52062
5.05	-19.25	-2.77928
5.05	-19.75	-2.81228
5.05	-20.25	-3.13578
5.05	-20.75	-3.2493
5.05	-21.25	-3.85781
5.05	-21.75	-3.82461
5.05	-22.25	-3.96673
5.05	-22.75	-4.48371
5.05	-23.25	-4.91134
5.05	-23.75	-5.1847
5.05	-24.25	-5.74084
5.05	-24.75	-6.25717
5.05	-25.25	-6.8316
5.05	-25.75	-7.51461
5.05	-26.25	-8.4842
5.05	-26.75	-9.14074
5.05	-27.25	-10.6691
5.05	-27.75	-11.9829
