-22.541190769394476  -5.354704445530045
-22.36480814823055  -5.410721380882594
-22.184952468475963  -5.59772083314829
-22.063479686122008  -5.315622862725942
-22.02140120372565  -5.079179286761115
-21.875698133174332  -4.931912777012925
-21.64712469449192  -4.8686716702935575
-21.45006425566836  -4.962911577918907
-21.31462083931891  -4.7622276502198355
-21.210360463110305  -4.576199316072302
-21.1060928639029  -4.387044455300441
-20.98102044850308  -4.181140344755392
-20.83528612910143  -4.020347546932795
-20.6480788983637  -3.8852369320957507
-20.41953664990339  -3.8354967357996186
-20.190977985536705  -3.7786507971754686
-19.962217405521695  -3.6344042279166864
-19.73350443163515  -3.510764311409158
-19.504822647970705  -3.4006253053248665
-19.286478617182674  -3.2708744504152425
-19.06808895017494  -3.1213696318337263
-18.83941537446368  -3.0147834969134437
-18.610727024436688  -2.9018021938979444
-18.382069864631795  -2.8023218013056805
-18.153419271189453  -2.7056837056446246
-17.92468167344336  -2.571385175645069
-17.69598183228191  -2.4534298529999563
-17.46730333179874  -2.3447119953812683
-17.238575583596464  -2.214676910778523
-17.01764395452735  -2.088461162677089
-16.781154560595287  -1.969528800461874
-16.666707786166988  -1.8686272594040063
-16.46134496586707  -1.8263389826262322
-16.240695864017276  -1.7359867359476548
-16.012058403300024  -1.645033234149014
-15.783399054707619  -1.5446054092463475
-15.554685807222636  -1.4208470637000195
-15.32597967329708  -1.3001678731625
-15.097273265773083  -1.1793702535861796
-14.86856521665845  -1.0578620597770578
-14.639862092315727  -0.9384855886663412
-14.411179214257526  -0.8278728664268484
-14.182523148846395  -0.7288661899897857
-13.953893896082329  -0.6414655593551541
-13.725290087973134  -0.5650788293289517
-13.496726225236102  -0.505982738967595
-13.268173580035091  -0.45174223919705137
-13.039651030662421  -0.41052893369454213
-12.811141614014845  -0.37500022205444794
-12.582635480548543  -0.34089265887995757
-12.354137555035424  -0.31033796686947657
-12.12564783747549  -0.28333614602300505
-11.897167969459376  -0.26059777057334466
-11.668704517349633  -0.24496513745170323
-11.440273897052625  -0.24354398898609952
-11.211872825387081  -0.2549131767109297
-10.983476678493446  -0.26841408713416537
-10.755124854547006  -0.30110050184305204
-10.52679765446012  -0.34444553004396694
-10.291538564310752  -0.3835271128480705
-10.070205634730545  -0.45813740729226826
-9.841935890315948  -0.526352533641249
-9.613684203398355  -0.6023839765510506
-9.385439082843309  -0.6812577163920596
-9.157200528650813  -0.762973753164276
-8.928966899230225  -0.8468215126348984
-8.700743119353458  -0.9349327175023319
-8.472522622657966  -1.024465070835369
-8.244307050734381  -1.116129146866812
-8.016088195629528  -1.2063720744326514
-7.787880831659127  -1.3015890216281036
-7.559675109279368  -1.3975165430563576
-7.331467745308974  -1.4927334902518101
-7.113630966027721  -1.5825500732779683
