# log M
# log Phi
7.71851 -2.15593
7.77939 -2.23902
7.84734 -2.31764
7.91155 -2.40890
7.94080 -2.51927
7.98847 -2.53635
8.39166 -2.86938
8.46851 -3.00424
8.54168 -3.08421
8.61381 -3.18305
8.67802 -3.27382
8.73497 -3.36268
8.79025 -3.45473
8.83877 -3.54778
8.88838 -3.63812
8.95267 -3.69855
9.03345 -3.72857
9.12619 -3.76478
9.21340 -3.80743
9.29761 -3.85461
9.35879 -3.93240
9.42160 -4.02047
9.48688 -4.11089
9.54136 -4.12808

