# log M
# log Phi
7.68798 -1.89741
7.76153 -1.94196
7.80852 -2.01057
7.88166 -2.05302
7.92865 -2.11602
8.00220 -2.15110
8.06439 -2.21305
8.13835 -2.25239
8.20048 -2.30760
8.26784 -2.34070
8.29358 -2.40520
8.50031 -2.63170
8.56988 -2.70920
8.64055 -2.79863
8.70744 -2.88626
8.77980 -2.96724
8.85651 -3.05049
8.92886 -3.14065
8.99435 -3.23761
9.05735 -3.32988
9.11848 -3.41330
9.20116 -3.45229
9.28596 -3.49539
9.35296 -3.56413
9.42735 -3.61899
9.47434 -3.69001
9.55496 -3.70544
9.64572 -3.74266
9.72003 -3.80996
9.78015 -3.92575
9.80952 -4.02111
9.87359 -4.10063
9.91754 -4.19033
