# log M
# log Phi
7.67566 -1.67662
7.73570 -1.72655
7.81109 -1.75242
7.90014 -1.79954
7.96474 -1.87184
8.03890 -1.92434
8.08342 -1.99575
8.15502 -2.06316
8.22341 -2.15558
8.29386 -2.23468
8.38168 -2.25586
8.47503 -2.28854
8.55029 -2.33153
8.61228 -2.38477
8.68401 -2.41421
8.72899 -2.51230
8.86577 -2.68164
8.83278 -2.56838
8.93811 -2.74226
8.97763 -2.81293
9.05234 -2.88533
9.12795 -2.97577
9.18745 -3.07771
9.23659 -3.16457
9.29436 -3.25713
9.36691 -3.29598
9.45325 -3.33865
9.53937 -3.35051
9.62719 -3.35560
9.71501 -3.38953
9.78393 -3.46357
9.85926 -3.51488
9.90378 -3.58778
9.97681 -3.66020
10.04893 -3.74602
10.11315 -3.83363
10.16949 -3.93495
10.20862 -4.04258
10.27390 -4.14124
10.28986 -4.21351
