#id z L L_errmin L_errmax LUV LUV_errmin LUV_errmax EW EW_errmin EW_errmax Mstar Mstar_errmin Mstar_errmax
     20482  7.575e+00  1.017e+01  1.012e+01  1.022e+01  1.104e+01  1.085e+01  1.105e+01  3.624e+03  2.625e+03  4.564e+03  3.098e+08  2.376e+08  4.329e+08
     20483  7.575e+00  9.392e+00  8.755e+00  9.657e+00  1.003e+01  9.804e+00  1.025e+01  6.317e+02  1.412e+02  1.611e+03  1.453e+09  2.987e+08  3.132e+09
     20484  8.050e+00  9.626e+00  9.482e+00  9.731e+00  1.074e+01  1.055e+01  1.076e+01  1.710e+03  9.130e+02  2.753e+03  2.761e+08  1.134e+08  9.737e+08
    303684  7.575e+00  9.637e+00  9.506e+00  9.761e+00  1.058e+01  1.038e+01  1.073e+01  1.012e+03  6.452e+02  1.688e+03  1.377e+09  4.460e+08  2.293e+09
    303688  7.575e+00  9.447e+00  9.326e+00  9.548e+00  1.058e+01  1.056e+01  1.060e+01  1.821e+03  1.199e+03  2.682e+03  1.339e+08  7.373e+07  3.025e+08
    303692  7.575e+00  8.515e+00  8.279e+00  8.921e+00  1.038e+01  1.018e+01  1.040e+01  3.464e+02  1.868e+02  9.610e+02  8.129e+07  4.082e+07  2.235e+08
    303702  7.575e+00  8.481e+00  8.058e+00  8.930e+00  1.019e+01  1.006e+01  1.023e+01  5.231e+02  1.661e+02  1.567e+03  5.951e+07  2.906e+07  1.532e+08
    303734  7.575e+00  8.833e+00  8.284e+00  9.253e+00  9.716e+00  9.520e+00  1.008e+01  4.515e+02  1.140e+02  1.383e+03  4.669e+08  1.116e+08  1.408e+09
    303759  7.575e+00  8.111e+00  7.983e+00  8.425e+00  1.008e+01  1.005e+01  1.009e+01  3.149e+02  2.096e+02  7.040e+02  3.634e+07  1.922e+07  6.671e+07
    303776  7.575e+00  8.304e+00  7.959e+00  8.805e+00  1.008e+01  1.006e+01  1.009e+01  4.473e+02  1.676e+02  1.444e+03  4.262e+07  2.194e+07  1.145e+08
    303788  7.575e+00  8.846e+00  8.430e+00  9.200e+00  1.032e+01  1.014e+01  1.051e+01  3.425e+02  1.204e+02  9.523e+02  4.146e+08  1.196e+08  1.136e+09
    303789  7.575e+00  9.246e+00  9.196e+00  9.359e+00  1.006e+01  1.006e+01  1.006e+01  1.405e+02  1.246e+02  1.867e+02  1.517e+10  1.438e+10  1.569e+10
    303814  7.575e+00  8.935e+00  8.214e+00  9.180e+00  1.027e+01  1.007e+01  1.028e+01  9.906e+02  1.756e+02  2.108e+03  9.640e+07  3.982e+07  2.955e+08
    303827  7.575e+00  8.925e+00  8.568e+00  9.258e+00  9.952e+00  9.759e+00  1.014e+01  2.306e+02  9.928e+01  6.412e+02  1.861e+09  5.585e+08  2.966e+09
    303844  7.575e+00  9.149e+00  8.542e+00  9.371e+00  1.022e+01  9.992e+00  1.044e+01  7.312e+02  1.670e+02  1.682e+03  5.042e+08  1.216e+08  1.127e+09
    303846  7.575e+00  8.532e+00  8.297e+00  8.872e+00  1.018e+01  9.965e+00  1.037e+01  3.613e+02  1.917e+02  9.258e+02  7.953e+07  4.165e+07  2.857e+08
    303849  7.575e+00  8.909e+00  8.161e+00  9.170e+00  1.021e+01  9.935e+00  1.025e+01  9.155e+02  1.576e+02  2.166e+03  1.058e+08  3.886e+07  3.792e+08
    303850  7.575e+00  8.876e+00  8.591e+00  9.200e+00  1.006e+01  9.882e+00  1.030e+01  3.673e+02  1.531e+02  9.305e+02  3.234e+08  1.398e+08  1.173e+09
    303854  7.575e+00  8.503e+00  8.045e+00  8.930e+00  1.018e+01  9.994e+00  1.021e+01  5.590e+02  1.634e+02  1.602e+03  5.973e+07  2.858e+07  1.555e+08
    303857  7.575e+00  8.612e+00  8.429e+00  8.923e+00  1.049e+01  1.029e+01  1.050e+01  3.729e+02  2.108e+02  8.500e+02  7.853e+07  4.974e+07  2.466e+08
    303858  7.575e+00  9.646e+00  9.475e+00  9.785e+00  1.002e+01  9.828e+00  1.021e+01  1.180e+03  6.268e+02  2.197e+03  1.042e+09  3.138e+08  3.049e+09
    303863  7.575e+00  8.958e+00  8.262e+00  9.210e+00  1.023e+01  1.003e+01  1.025e+01  1.019e+03  1.797e+02  2.287e+03  9.751e+07  3.913e+07  3.622e+08
    303864  7.575e+00  8.846e+00  8.209e+00  9.198e+00  1.012e+01  9.915e+00  1.031e+01  5.667e+02  1.214e+02  1.616e+03  2.779e+08  6.500e+07  7.465e+08
    303865  7.575e+00  9.025e+00  8.495e+00  9.412e+00  1.061e+01  1.043e+01  1.062e+01  6.120e+02  1.597e+02  1.699e+03  1.997e+08  7.559e+07  5.785e+08
    303866  9.000e+00  9.149e+00  8.489e+00  9.418e+00  1.024e+01  1.005e+01  1.042e+01  9.121e+02  1.693e+02  2.303e+03  2.392e+08  6.609e+07  9.303e+08
    303867  7.575e+00  8.742e+00  8.209e+00  9.158e+00  9.790e+00  9.438e+00  1.001e+01  4.746e+02  1.196e+02  1.442e+03  2.953e+08  8.547e+07  8.806e+08
    303868  7.575e+00  9.223e+00  8.925e+00  9.442e+00  9.565e+00  9.368e+00  9.774e+00  1.006e+03  4.440e+02  2.598e+03  7.047e+08  1.214e+08  1.768e+09
    303870  7.575e+00  1.007e+01  9.887e+00  1.025e+01  1.002e+01  1.001e+01  1.020e+01  1.481e+03  7.100e+02  4.248e+03  3.711e+09  5.473e+08  1.033e+10
    303876  7.575e+00  8.272e+00  7.935e+00  8.743e+00  1.002e+01  9.827e+00  1.004e+01  4.046e+02  1.593e+02  1.264e+03  5.124e+07  1.983e+07  1.621e+08
    303878  7.575e+00  9.060e+00  8.671e+00  9.306e+00  9.937e+00  9.739e+00  1.012e+01  4.231e+02  1.452e+02  1.018e+03  4.045e+08  1.906e+08  1.804e+09
    303884  7.575e+00  9.332e+00  9.189e+00  9.440e+00  1.054e+01  1.053e+01  1.055e+01  1.582e+03  1.013e+03  2.268e+03  1.290e+08  6.695e+07  3.002e+08
    303885  7.575e+00  8.101e+00  7.968e+00  8.420e+00  1.006e+01  1.003e+01  1.007e+01  3.175e+02  2.076e+02  7.168e+02  3.504e+07  1.848e+07  6.476e+07
    303886  7.575e+00  9.139e+00  8.768e+00  9.327e+00  1.004e+01  1.003e+01  1.023e+01  5.031e+02  1.731e+02  1.142e+03  3.054e+08  1.619e+08  1.445e+09
    303887  7.575e+00  9.086e+00  8.860e+00  9.240e+00  1.007e+01  9.869e+00  1.010e+01  2.216e+03  9.875e+02  3.977e+03  4.636e+07  2.604e+07  1.935e+08
    303889  8.050e+00  8.745e+00  8.046e+00  9.029e+00  1.017e+01  1.016e+01  1.018e+01  8.900e+02  1.616e+02  1.892e+03  7.117e+07  3.071e+07  1.689e+08
    303890  7.575e+00  8.305e+00  7.926e+00  8.808e+00  1.005e+01  9.863e+00  1.006e+01  4.745e+02  1.622e+02  1.543e+03  5.069e+07  2.049e+07  1.389e+08
    303891  7.575e+00  9.884e+00  9.816e+00  9.945e+00  9.817e+00  9.800e+00  9.829e+00  1.873e+03  1.401e+03  2.681e+03  8.421e+08  4.272e+08  1.765e+09
    303893  7.575e+00  9.184e+00  8.982e+00  9.377e+00  9.332e+00  9.279e+00  9.527e+00  9.455e+02  4.925e+02  2.595e+03  9.862e+08  1.105e+08  1.943e+09
    303901  7.575e+00  8.328e+00  7.782e+00  8.717e+00  9.912e+00  9.713e+00  9.943e+00  6.061e+02  1.577e+02  1.722e+03  3.889e+07  1.623e+07  1.106e+08
    303903  7.575e+00  8.655e+00  8.278e+00  9.003e+00  1.019e+01  9.996e+00  1.037e+01  3.666e+02  1.336e+02  1.053e+03  1.756e+08  5.745e+07  5.571e+08
    303908  7.575e+00  9.063e+00  8.470e+00  9.275e+00  9.358e+00  9.329e+00  9.545e+00  5.190e+02  1.324e+02  1.076e+03  1.936e+09  4.766e+08  2.961e+09
    303910  7.575e+00  8.901e+00  8.231e+00  9.166e+00  9.912e+00  9.702e+00  1.010e+01  1.028e+03  1.923e+02  2.563e+03  1.074e+08  3.482e+07  4.391e+08
    303911  7.575e+00  9.094e+00  8.502e+00  9.332e+00  9.819e+00  9.608e+00  1.002e+01  9.350e+02  2.043e+02  2.410e+03  3.003e+08  7.398e+07  9.632e+08
    303913  8.525e+00  9.120e+00  8.314e+00  9.422e+00  9.977e+00  9.777e+00  1.032e+01  8.181e+02  1.360e+02  2.293e+03  2.477e+08  7.040e+07  1.032e+09
