Title: UV Luminosity Functions at redshifts z ~ 4 to z ~ 10: 
      10000 Galaxies from HST Legacy Fields 
Authors: Bouwens R.J., Illingworth G.D., Oesch P.A., Trenti M., Labbe I., 
        Bradley L., Carollo M., van Dokkum P.G., Gonzalez V., Holwerda B., 
        Franx M., Spitler L., Smit R., Magee D. 
Table: A complete list of the sources included in our z ~ 4, z ~ 5, z ~ 6, 
       z ~ 7, z ~ 8, and z ~ 10 samples
================================================================================
Byte-by-byte Description of file: apj508910t3_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units    Label  Explanations
--------------------------------------------------------------------------------
   1- 19 A19    ---      ID     Source identifier
  21- 22 I2     h        RAh    Hour of Right Ascension (J2000)
  24- 25 I2     min      RAm    Minute of Right Ascension (J2000)
  27- 31 F5.2   s        RAs    Second of Right Ascension (J2000)
      33 A1     ---      DE-    Sign of the Declination (J2000)
  34- 35 I2     deg      DEd    Degree of Declination (J2000)
  37- 38 I2     arcmin   DEm    Arcminute of Declination (J2000)
  40- 43 F4.1   arcsec   DEs    Arcsecond of Declination (J2000)
  45- 49 F5.2   mag      F160W  Measured F160W-band AB magnitude 
  51- 52 I2     ---      rset   Sample number (1)
  54- 55 I2     ---      dset   Data set number (2)
  57- 61 F5.2   ---      zphot  Photometric Redshift as estimated by EAZY (3)
      62 A1     ---    f_zphot  [*] Flag on zphot (4)
HUDF092B-3047051378 03 33 04.70 -27 51 37.8 28.81  4  3  3.54
HUDF092B-3061451338 03 33 06.14 -27 51 33.8 24.22  4  3  4.27*
HUDF092B-3059651350 03 33 05.96 -27 51 35.0 24.79  4  3  4.06*
HUDF092B-3075351290 03 33 07.53 -27 51 29.0 27.27  4  3  3.87
HUDF092B-3042551258 03 33 04.25 -27 51 25.8 29.58  4  3  3.77
HUDF092B-3058951267 03 33 05.89 -27 51 26.7 27.32  4  3  4.27
HUDF092B-3065551201 03 33 06.55 -27 51 20.1 28.11  4  3  3.58
HUDF092B-3053451194 03 33 05.34 -27 51 19.4 27.74  4  3  3.82
HUDF092B-3055551192 03 33 05.55 -27 51 19.2 27.40  4  3  4.06*
HUDF092B-3052251135 03 33 05.22 -27 51 13.5 28.58  4  3  3.96
HUDF092B-3371511367 03 33 07.15 -27 51 13.6 25.44  4  3  3.36
HUDF092B-3056551123 03 33 05.65 -27 51 12.3 25.19  4  3  3.54
HUDF092B-3060951108 03 33 06.09 -27 51 10.8 28.06  4  3  3.72
HUDF092B-3042451069 03 33 04.24 -27 51 06.9 29.11  4  3  3.32
HUDF092B-3006752010 03 33 00.67 -27 52 01.0 28.28  4  3  2.79
HUDF092B-3020551563 03 33 02.05 -27 51 56.3 27.88  4  3  3.19
