#Observed UV luminosities (including dust) are M_1500 [AB].
#Note: Dust corrections are uncalibrated at z<4, so UV luminosities may be incorrect.
#Number densities are in comoving Mpc^-3 mag^-1.
#UV_Center Number_Density Err+ Err- UV_Min UV_Max
-23.975 0 1.14973e-19 0 -24 -23.95
-23.925 0 7.02871e-19 0 -23.95 -23.9
-23.875 0 4.03741e-18 0 -23.9 -23.85
-23.825 0 2.17932e-17 0 -23.85 -23.8
-23.775 0 1.10543e-16 0 -23.8 -23.75
-23.725 0 5.26906e-16 0 -23.75 -23.7
-23.675 3.11644e-23 2.36012e-15 3.11644e-23 -23.7 -23.65
-23.625 2.70853e-22 9.93423e-15 2.70853e-22 -23.65 -23.6
-23.575 1.94973e-21 3.9295e-14 1.94973e-21 -23.6 -23.55
-23.525 1.34482e-20 1.46066e-13 1.34482e-20 -23.55 -23.5
-23.475 8.79506e-20 5.10239e-13 8.79506e-20 -23.5 -23.45
-23.425 5.40507e-19 1.67502e-12 5.40507e-19 -23.45 -23.4
-23.375 3.1235e-18 5.16768e-12 3.1235e-18 -23.4 -23.35
-23.325 1.69727e-17 1.49548e-11 1.69727e-17 -23.35 -23.3
-23.275 8.67312e-17 4.07584e-11 8.67309e-17 -23.3 -23.25
-23.225 4.16803e-16 1.01153e-10 4.16801e-16 -23.25 -23.2
-23.175 1.88383e-15 2.34495e-10 1.88381e-15 -23.2 -23.15
-23.125 8.00811e-15 5.24013e-10 8.00801e-15 -23.15 -23.1
-23.075 3.20201e-14 1.10552e-09 3.20195e-14 -23.1 -23.05
-23.025 1.20434e-13 2.19113e-09 1.20431e-13 -23.05 -23
-22.975 4.2613e-13 4.06845e-09 4.2611e-13 -23 -22.95
-22.925 1.41852e-12 7.12717e-09 1.41842e-12 -22.95 -22.9
-22.875 4.44291e-12 1.17881e-08 4.44242e-12 -22.9 -22.85
-22.825 1.30944e-11 1.8425e-08 1.30922e-11 -22.85 -22.8
-22.775 3.63201e-11 2.74939e-08 3.63109e-11 -22.8 -22.75
-22.725 9.48225e-11 3.93619e-08 9.47871e-11 -22.75 -22.7
-22.675 2.33054e-10 5.2742e-08 2.32926e-10 -22.7 -22.65
-22.625 5.39359e-10 6.8522e-08 5.38922e-10 -22.65 -22.6
-22.575 1.17569e-09 8.37908e-08 1.1743e-09 -22.6 -22.55
