#Observed UV luminosities (including dust) are M_1500 [AB].
#Note: Dust corrections are uncalibrated at z<4, so UV luminosities may be incorrect.
#Number densities are in comoving Mpc^-3 mag^-1.
#UV_Center Number_Density Err+ Err- UV_Min UV_Max
-23.975 0 0 0 -24 -23.95
-23.925 0 0 0 -23.95 -23.9
-23.875 0 0 0 -23.9 -23.85
-23.825 0 0 0 -23.85 -23.8
-23.775 0 0 0 -23.8 -23.75
-23.725 0 0 0 -23.75 -23.7
-23.675 0 0 0 -23.7 -23.65
-23.625 0 0 0 -23.65 -23.6
-23.575 0 0 0 -23.6 -23.55
-23.525 0 0 0 -23.55 -23.5
-23.475 0 0 0 -23.5 -23.45
-23.425 0 0 0 -23.45 -23.4
-23.375 0 0 0 -23.4 -23.35
-23.325 0 0 0 -23.35 -23.3
-23.275 0 0 0 -23.3 -23.25
-23.225 0 0 0 -23.25 -23.2
-23.175 0 0 0 -23.2 -23.15
-23.125 0 0 0 -23.15 -23.1
-23.075 0 2.23417e-23 0 -23.1 -23.05
-23.025 0 1.28496e-22 0 -23.05 -23
-22.975 0 9.99987e-22 0 -23 -22.95
-22.925 0 6.9161e-21 0 -22.95 -22.9
-22.875 0 4.54291e-20 0 -22.9 -22.85
-22.825 0 2.79813e-19 0 -22.85 -22.8
-22.775 0 1.61994e-18 0 -22.8 -22.75
-22.725 0 8.81273e-18 0 -22.75 -22.7
-22.675 0 4.50524e-17 0 -22.7 -22.65
-22.625 0 2.16432e-16 0 -22.65 -22.6
-22.575 0 9.77062e-16 0 -22.6 -22.55
-22.525 0 4.14496e-15 0 -22.55 -22.5
-22.475 0 1.65241e-14 0 -22.5 -22.45
-22.425 0 6.19033e-14 0 -22.45 -22.4
-22.375 0 2.17927e-13 0 -22.4 -22.35
-22.325 0 7.20959e-13 0 -22.35 -22.3
-22.275 0 2.24137e-12 0 -22.3 -22.25
-22.225 0 6.54814e-12 0 -22.25 -22.2
-22.175 0 1.79774e-11 0 -22.2 -22.15
-22.125 0 4.63811e-11 0 -22.15 -22.1
-22.075 0 1.1245e-10 0 -22.1 -22.05
-22.025 0 2.56205e-10 0 -22.05 -22
-21.975 0 4.38231e-10 0 -22 -21.95
-21.925 0 7.83936e-10 0 -21.95 -21.9
-21.875 0 1.52912e-09 0 -21.9 -21.85
-21.825 0 2.80292e-09 0 -21.85 -21.8
-21.775 0 4.82822e-09 0 -21.8 -21.75
-21.725 0 7.81575e-09 0 -21.75 -21.7
-21.675 0 1.18895e-08 0 -21.7 -21.65
-21.625 0 1.38285e-08 0 -21.65 -21.6
-21.575 0 1.7475e-08 0 -21.6 -21.55
-21.525 0 2.00315e-08 0 -21.55 -21.5
-21.475 0 2.4083e-08 0 -21.5 -21.45
-21.425 0 2.19759e-08 0 -21.45 -21.4
-21.375 0 2.32241e-08 0 -21.4 -21.35
-21.325 0 2.36527e-08 0 -21.35 -21.3
-21.275 0 2.87684e-08 0 -21.3 -21.25
-21.225 0 2.88461e-08 0 -21.25 -21.2
-21.175 0 3.04263e-08 0 -21.2 -21.15
-21.125 0 3.55522e-08 0 -21.15 -21.1
-21.075 0 3.88597e-08 0 -21.1 -21.05
-21.025 3.71228e-23 3.96049e-08 3.71228e-23 -21.05 -21
-20.975 2.73389e-22 4.12311e-08 2.73389e-22 -21 -20.95
-20.925 1.96352e-21 4.50376e-08 1.96352e-21 -20.95 -20.9
-20.875 1.36238e-20 4.85539e-08 1.36238e-20 -20.9 -20.85
-20.825 8.85293e-20 6.44012e-08 8.85293e-20 -20.85 -20.8
-20.775 5.41109e-19 8.30172e-08 5.41109e-19 -20.8 -20.75
-20.725 3.11026e-18 1.128e-07 3.11026e-18 -20.75 -20.7
-20.675 1.68128e-17 1.37219e-07 1.68128e-17 -20.7 -20.65
-20.625 8.54772e-17 1.96507e-07 8.54772e-17 -20.65 -20.6
-20.575 4.08766e-16 2.63373e-07 4.08766e-16 -20.6 -20.55
-20.525 1.83891e-15 3.31137e-07 1.83891e-15 -20.55 -20.5
-20.475 7.78333e-15 4.23316e-07 7.78333e-15 -20.5 -20.45
-20.425 3.09996e-14 4.80995e-07 3.09996e-14 -20.45 -20.4
-20.375 1.16201e-13 5.47057e-07 1.16201e-13 -20.4 -20.35
-20.325 4.10034e-13 6.22955e-07 4.10034e-13 -20.35 -20.3
-20.275 1.36237e-12 7.24376e-07 1.36237e-12 -20.3 -20.25
-20.225 4.26354e-12 8.15362e-07 4.26354e-12 -20.25 -20.2
-20.175 1.25718e-11 9.62065e-07 1.25718e-11 -20.2 -20.15
-20.125 3.49436e-11 1.09984e-06 3.49436e-11 -20.15 -20.1
-20.075 9.16023e-11 1.22352e-06 9.16023e-11 -20.1 -20.05
-20.025 2.26613e-10 1.40116e-06 2.26613e-10 -20.05 -20
-19.975 5.29463e-10 1.58946e-06 5.29463e-10 -20 -19.95
-19.925 1.16938e-09 1.8066e-06 1.16938e-09 -19.95 -19.9
-19.875 2.44411e-09 2.09172e-06 2.44411e-09 -19.9 -19.85
-19.825 4.84078e-09 2.40252e-06 4.84078e-09 -19.85 -19.8
-19.775 9.0998e-09 2.73752e-06 9.0998e-09 -19.8 -19.75
-19.725 1.62667e-08 3.01069e-06 1.62667e-08 -19.75 -19.7
-19.675 2.77141e-08 3.47163e-06 2.77141e-08 -19.7 -19.65
-19.625 4.51214e-08 3.86417e-06 4.51214e-08 -19.65 -19.6
-19.575 7.04147e-08 4.13919e-06 7.04147e-08 -19.6 -19.55
-19.525 1.05688e-07 4.31629e-06 1.05688e-07 -19.55 -19.5
-19.475 1.5314e-07 4.64774e-06 1.5314e-07 -19.5 -19.45
-19.425 2.15056e-07 4.92919e-06 2.15056e-07 -19.45 -19.4
-19.375 2.93838e-07 5.01177e-06 2.93838e-07 -19.4 -19.35
-19.325 3.92051e-07 5.39832e-06 3.92051e-07 -19.35 -19.3
-19.275 5.12407e-07 5.87541e-06 5.12407e-07 -19.3 -19.25
-19.225 6.576e-07 6.19543e-06 6.576e-07 -19.25 -19.2
-19.175 8.29936e-07 6.35651e-06 8.29936e-07 -19.2 -19.15
-19.125 1.03076e-06 6.5961e-06 1.03076e-06 -19.15 -19.1
-19.075 1.25984e-06 6.98209e-06 1.25984e-06 -19.1 -19.05
-19.025 1.51488e-06 7.59683e-06 1.51488e-06 -19.05 -19
-18.975 1.79152e-06 7.93103e-06 1.79152e-06 -19 -18.95
