#Observed UV luminosities (including dust) are M_1500 [AB].
#Note: Dust corrections are uncalibrated at z<4, so UV luminosities may be incorrect.
#Number densities are in comoving Mpc^-3 mag^-1.
#UV_Center Number_Density Err+ Err- UV_Min UV_Max
-23.975 0 1.60091e-21 0 -24 -23.95
-23.925 0 1.10653e-20 0 -23.95 -23.9
-23.875 0 7.22138e-20 0 -23.9 -23.85
-23.825 0 4.44041e-19 0 -23.85 -23.8
-23.775 2.23417e-23 2.56744e-18 2.23417e-23 -23.8 -23.75
-23.725 1.34356e-22 1.39636e-17 1.34356e-22 -23.75 -23.7
-23.675 1.05944e-21 7.14422e-17 1.05944e-21 -23.7 -23.65
-23.625 7.40796e-21 3.43887e-16 7.40796e-21 -23.65 -23.6
-23.575 4.87158e-20 1.55749e-15 4.87158e-20 -23.6 -23.55
-23.525 3.01027e-19 6.63788e-15 3.01027e-19 -23.55 -23.5
-23.475 1.74994e-18 2.66245e-14 1.74994e-18 -23.5 -23.45
-23.425 9.56601e-18 1.00516e-13 9.56596e-18 -23.45 -23.4
-23.375 4.91788e-17 3.57233e-13 4.91785e-17 -23.4 -23.35
-23.325 2.37806e-16 1.19533e-12 2.37803e-16 -23.35 -23.3
-23.275 1.08172e-15 3.76627e-12 1.08171e-15 -23.3 -23.25
-23.225 4.62935e-15 1.1176e-11 4.62926e-15 -23.25 -23.2
-23.175 1.86425e-14 3.12385e-11 1.86419e-14 -23.2 -23.15
-23.125 7.06551e-14 8.22607e-11 7.06519e-14 -23.15 -23.1
-23.075 2.52073e-13 2.04113e-10 2.52056e-13 -23.1 -23.05
-23.025 8.46744e-13 4.86761e-10 8.46657e-13 -23.05 -23
-22.975 2.67873e-12 1.09866e-09 2.67831e-12 -23 -22.95
-22.925 7.9833e-12 2.3315e-09 7.98144e-12 -22.95 -22.9
-22.875 2.24209e-11 4.65192e-09 2.24129e-11 -22.9 -22.85
-22.825 5.93612e-11 8.72712e-09 5.93288e-11 -22.85 -22.8
-22.775 1.48222e-10 1.53949e-08 1.48098e-10 -22.8 -22.75
-22.725 3.49219e-10 2.55385e-08 3.48772e-10 -22.75 -22.7
-22.675 7.76785e-10 3.97202e-08 7.75319e-10 -22.7 -22.65
-22.625 1.63235e-09 5.75335e-08 1.62785e-09 -22.65 -22.6
-22.575 3.24324e-09 7.88271e-08 3.23025e-09 -22.6 -22.55
-22.525 6.09847e-09 1.02321e-07 6.06225e-09 -22.55 -22.5
-22.475 1.08655e-08 1.24137e-07 1.07681e-08 -22.5 -22.45
-22.425 1.83699e-08 1.4037e-07 1.81225e-08 -22.45 -22.4
-22.375 2.95251e-08 1.58015e-07 2.89435e-08 -22.4 -22.35
-22.325 4.5217e-08 1.74643e-07 4.39987e-08 -22.35 -22.3
-22.275 6.6174e-08 1.84878e-07 6.37539e-08 -22.3 -22.25
-22.225 9.28702e-08 1.92539e-07 8.81661e-08 -22.25 -22.2
-22.175 1.25516e-07 2.04377e-07 1.16265e-07 -22.2 -22.15
-22.125 1.64162e-07 2.22648e-07 1.46732e-07 -22.15 -22.1
-22.075 2.08892e-07 2.41938e-07 1.78088e-07 -22.1 -22.05
-22.025 2.60057e-07 2.59892e-07 2.11788e-07 -22.05 -22
-21.975 3.18479e-07 2.78817e-07 2.43104e-07 -22 -21.95
-21.925 3.8561e-07 2.97872e-07 2.70638e-07 -21.95 -21.9
-21.875 4.63678e-07 3.17279e-07 2.86431e-07 -21.9 -21.85
-21.825 5.55878e-07 3.48946e-07 3.23105e-07 -21.85 -21.8
-21.775 6.66624e-07 3.93578e-07 3.66117e-07 -21.8 -21.75
-21.725 8.01729e-07 4.42068e-07 4.12176e-07 -21.75 -21.7
-21.675 9.68293e-07 4.98323e-07 4.85835e-07 -21.7 -21.65
-21.625 1.17408e-06 5.81802e-07 5.70501e-07 -21.65 -21.6
-21.575 1.42635e-06 6.4053e-07 6.71653e-07 -21.6 -21.55
-21.525 1.73048e-06 6.86098e-07 8.06726e-07 -21.55 -21.5
-21.475 2.08897e-06 7.16927e-07 9.34477e-07 -21.5 -21.45
-21.425 2.50156e-06 7.29913e-07 1.11264e-06 -21.45 -21.4
-21.375 2.96678e-06 6.93867e-07 1.28019e-06 -21.4 -21.35
-21.325 3.48461e-06 7.51429e-07 1.45118e-06 -21.35 -21.3
-21.275 4.05924e-06 7.63695e-07 1.5991e-06 -21.3 -21.25
-21.225 4.70087e-06 8.03356e-07 1.72668e-06 -21.25 -21.2
-21.175 5.42559e-06 1.14534e-06 1.88895e-06 -21.2 -21.15
-21.125 6.2535e-06 1.44798e-06 2.08438e-06 -21.15 -21.1
-21.075 7.20573e-06 1.63678e-06 2.35439e-06 -21.1 -21.05
-21.025 8.30179e-06 2.00492e-06 2.5766e-06 -21.05 -21
-20.975 9.55783e-06 2.44218e-06 2.90373e-06 -21 -20.95
-20.925 1.09859e-05 2.70493e-06 3.32751e-06 -20.95 -20.9
-20.875 1.25936e-05 2.87563e-06 3.73403e-06 -20.9 -20.85
-20.825 1.43832e-05 3.23484e-06 4.02593e-06 -20.85 -20.8
-20.775 1.63509e-05 3.58498e-06 4.46847e-06 -20.8 -20.75
-20.725 1.84856e-05 4.25586e-06 4.76073e-06 -20.75 -20.7
-20.675 2.07703e-05 4.45123e-06 5.22743e-06 -20.7 -20.65
-20.625 2.31853e-05 4.87779e-06 5.74698e-06 -20.65 -20.6
-20.575 2.57148e-05 5.30795e-06 6.08232e-06 -20.6 -20.55
-20.525 2.83536e-05 5.74708e-06 6.66595e-06 -20.55 -20.5
-20.475 3.11131e-05 6.66463e-06 7.18139e-06 -20.5 -20.45
-20.425 3.40228e-05 7.85061e-06 7.53254e-06 -20.45 -20.4
-20.375 3.71275e-05 9.14217e-06 8.35569e-06 -20.4 -20.35
-20.325 4.04787e-05 1.04732e-05 9.12847e-06 -20.35 -20.3
-20.275 4.4124e-05 1.12478e-05 1.00368e-05 -20.3 -20.25
-20.225 4.80971e-05 1.23253e-05 1.1122e-05 -20.25 -20.2
-20.175 5.24129e-05 1.25495e-05 1.22222e-05 -20.2 -20.15
-20.125 5.70694e-05 1.44295e-05 1.3487e-05 -20.15 -20.1
-20.075 6.2056e-05 1.55426e-05 1.48853e-05 -20.1 -20.05
-20.025 6.73669e-05 1.73902e-05 1.65902e-05 -20.05 -20
-19.975 7.30126e-05 1.91201e-05 1.8199e-05 -20 -19.95
-19.925 7.90267e-05 2.09839e-05 1.97457e-05 -19.95 -19.9
-19.875 8.54641e-05 2.2986e-05 2.12707e-05 -19.9 -19.85
-19.825 9.23906e-05 2.51524e-05 2.26717e-05 -19.85 -19.8
-19.775 9.98683e-05 2.86301e-05 2.45429e-05 -19.8 -19.75
-19.725 0.000107943 3.12757e-05 2.74406e-05 -19.75 -19.7
-19.675 0.000116636 3.56839e-05 2.98252e-05 -19.7 -19.65
-19.625 0.000125952 3.73429e-05 3.22556e-05 -19.65 -19.6
-19.575 0.000135887 4.19059e-05 3.50799e-05 -19.6 -19.55
-19.525 0.000146441 4.71199e-05 3.79041e-05 -19.55 -19.5
