#Observed UV luminosities (including dust) are M_1500 [AB].
#Note: Dust corrections are uncalibrated at z<4, so UV luminosities may be incorrect.
#Number densities are in comoving Mpc^-3 mag^-1.
#UV_Center Number_Density Err+ Err- UV_Min UV_Max
-23.975 2.35943e-17 4.23795e-14 2.35898e-17 -24 -23.95
-23.925 1.1621e-16 1.51916e-13 1.1618e-16 -23.95 -23.9
-23.875 5.37873e-16 5.11719e-13 5.37684e-16 -23.9 -23.85
-23.825 2.33946e-15 1.61969e-12 2.33834e-15 -23.85 -23.8
-23.775 9.56207e-15 4.81728e-12 9.5559e-15 -23.8 -23.75
-23.725 3.67277e-14 1.34627e-11 3.66956e-14 -23.75 -23.7
-23.675 1.3257e-13 3.53526e-11 1.32413e-13 -23.7 -23.65
-23.625 4.49689e-13 8.72283e-11 4.48963e-13 -23.65 -23.6
-23.575 1.43351e-12 2.02226e-10 1.43036e-12 -23.6 -23.55
-23.525 4.29462e-12 4.40762e-10 4.28179e-12 -23.55 -23.5
-23.475 1.20921e-11 9.24272e-10 1.20429e-11 -23.5 -23.45
-23.425 3.20005e-11 1.81921e-09 3.18228e-11 -23.45 -23.4
-23.375 7.96036e-11 3.39219e-09 7.89932e-11 -23.4 -23.35
-23.325 1.86162e-10 6.24762e-09 1.84219e-10 -23.35 -23.3
-23.275 4.09383e-10 1.05934e-08 4.03561e-10 -23.3 -23.25
-23.225 8.46827e-10 1.59092e-08 8.30295e-10 -23.25 -23.2
-23.175 1.6486e-09 2.34771e-08 1.60434e-09 -23.2 -23.15
-23.125 3.02303e-09 3.03238e-08 2.91107e-09 -23.15 -23.1
-23.075 5.22774e-09 4.62834e-08 4.96231e-09 -23.1 -23.05
-23.025 8.54191e-09 5.70829e-08 7.95775e-09 -23.05 -23
-22.975 1.32254e-08 7.57005e-08 1.19975e-08 -23 -22.95
-22.925 1.94856e-08 9.28031e-08 1.70383e-08 -22.95 -22.9
-22.875 2.74862e-08 1.23268e-07 2.28516e-08 -22.9 -22.85
-22.825 3.74294e-08 1.63931e-07 2.92602e-08 -22.85 -22.8
-22.775 4.97224e-08 1.97725e-07 3.61206e-08 -22.8 -22.75
-22.725 6.51956e-08 2.41372e-07 4.375e-08 -22.75 -22.7
-22.675 8.53031e-08 3.01753e-07 5.09346e-08 -22.7 -22.65
-22.625 1.1223e-07 3.70947e-07 5.72902e-08 -22.65 -22.6
