#Observed UV luminosities (including dust) are M_1500 [AB].
#Note: Dust corrections are uncalibrated at z<4, so UV luminosities may be incorrect.
#Number densities are in comoving Mpc^-3 mag^-1.
#UV_Center Number_Density Err+ Err- UV_Min UV_Max
-23.975 2.8598e-15 2.19201e-11 2.42524e-15 -24 -23.95
-23.925 1.24056e-14 6.1638e-11 1.03711e-14 -23.95 -23.9
-23.875 5.0673e-14 1.61971e-10 4.1709e-14 -23.9 -23.85
-23.825 1.94955e-13 4.00864e-10 1.57774e-13 -23.85 -23.8
-23.775 7.06704e-13 9.38584e-10 5.61479e-13 -23.8 -23.75
-23.725 2.41466e-12 2.0815e-09 1.88032e-12 -23.75 -23.7
-23.675 7.78023e-12 4.56395e-09 5.92742e-12 -23.7 -23.65
-23.625 2.36531e-11 9.44938e-09 1.74712e-11 -23.65 -23.6
-23.575 6.78942e-11 1.81505e-08 4.83722e-11 -23.6 -23.55
-23.525 1.84147e-10 3.31897e-08 1.25989e-10 -23.55 -23.5
-23.475 4.72375e-10 5.79027e-08 3.08844e-10 -23.5 -23.45
-23.425 1.1473e-09 9.66326e-08 7.13013e-10 -23.45 -23.4
-23.375 2.64176e-09 1.603e-07 1.57187e-09 -23.4 -23.35
-23.325 5.77544e-09 2.50572e-07 3.28714e-09 -23.35 -23.3
-23.275 1.20088e-08 3.78152e-07 6.51514e-09 -23.3 -23.25
-23.225 2.37955e-08 5.76137e-07 1.22653e-08 -23.25 -23.2
-23.175 4.50324e-08 8.19503e-07 2.1991e-08 -23.2 -23.15
-23.125 8.15927e-08 1.12953e-06 3.76743e-08 -23.15 -23.1
-23.075 1.41914e-07 1.51413e-06 5.89286e-08 -23.1 -23.05
-23.025 2.37616e-07 2.02318e-06 8.51401e-08 -23.05 -23
-22.975 3.84135e-07 2.57044e-06 1.34002e-07 -23 -22.95
-22.925 6.01398e-07 3.35161e-06 1.94857e-07 -22.95 -22.9
-22.875 9.14581e-07 4.11392e-06 2.70276e-07 -22.9 -22.85
-22.825 1.35501e-06 5.07757e-06 3.97189e-07 -22.85 -22.8
-22.775 1.96126e-06 6.26845e-06 5.87594e-07 -22.8 -22.75
-22.725 2.78036e-06 7.50449e-06 8.139e-07 -22.75 -22.7
-22.675 3.86898e-06 8.82669e-06 1.02648e-06 -22.7 -22.65
-22.625 5.29422e-06 1.05544e-05 1.36832e-06 -22.65 -22.6
-22.575 7.13338e-06 1.24918e-05 1.78576e-06 -22.6 -22.55
-22.525 9.47246e-06 1.45956e-05 2.31628e-06 -22.55 -22.5
-22.475 1.24027e-05 1.67964e-05 2.94723e-06 -22.5 -22.45
-22.425 1.60152e-05 1.89711e-05 3.61474e-06 -22.45 -22.4
-22.375 2.03939e-05 2.08616e-05 4.19346e-06 -22.4 -22.35
-22.325 2.56073e-05 2.24524e-05 5.01458e-06 -22.35 -22.3
-22.275 3.17002e-05 2.38896e-05 6.02252e-06 -22.3 -22.25
-22.225 3.86862e-05 2.5034e-05 6.86797e-06 -22.25 -22.2
-22.175 4.65434e-05 2.4502e-05 8.79589e-06 -22.2 -22.15
-22.125 5.52135e-05 2.4822e-05 9.57701e-06 -22.15 -22.1
-22.075 6.46073e-05 2.47649e-05 1.13387e-05 -22.1 -22.05
-22.025 7.46157e-05 2.51172e-05 1.24783e-05 -22.05 -22
-21.975 8.51255e-05 2.41446e-05 1.28936e-05 -22 -21.95
-21.925 9.60369e-05 2.48096e-05 1.54485e-05 -21.95 -21.9
-21.875 0.000107279 2.45633e-05 1.63979e-05 -21.9 -21.85
-21.825 0.000118818 2.36481e-05 1.90722e-05 -21.85 -21.8
-21.775 0.000130659 2.26773e-05 2.22471e-05 -21.8 -21.75
-21.725 0.000142835 2.17637e-05 2.47987e-05 -21.75 -21.7
-21.675 0.000155395 2.03007e-05 2.75443e-05 -21.7 -21.65
-21.625 0.000168386 1.93841e-05 3.1144e-05 -21.65 -21.6
-21.575 0.00018185 1.98775e-05 3.32965e-05 -21.6 -21.55
-21.525 0.000195817 1.94609e-05 3.5586e-05 -21.55 -21.5
-21.475 0.000210323 2.01645e-05 3.77679e-05 -21.5 -21.45
-21.425 0.000225414 2.08788e-05 3.90096e-05 -21.45 -21.4
-21.375 0.000241164 2.03889e-05 4.17412e-05 -21.4 -21.35
-21.325 0.000257671 2.04527e-05 4.56171e-05 -21.35 -21.3
-21.275 0.000275047 2.01283e-05 4.88192e-05 -21.3 -21.25
-21.225 0.0002934 2.05909e-05 5.24267e-05 -21.25 -21.2
-21.175 0.000312808 2.02296e-05 5.62297e-05 -21.2 -21.15
-21.125 0.000333302 1.99583e-05 5.9963e-05 -21.15 -21.1
-21.075 0.000354867 2.03628e-05 6.44874e-05 -21.1 -21.05
-21.025 0.000377439 2.06739e-05 6.94202e-05 -21.05 -21
-20.975 0.000400933 2.1611e-05 7.40399e-05 -21 -20.95
-20.925 0.000425259 1.84836e-05 7.85106e-05 -20.95 -20.9
-20.875 0.000450351 1.69474e-05 8.28541e-05 -20.9 -20.85
-20.825 0.000476186 1.51055e-05 8.70975e-05 -20.85 -20.8
-20.775 0.000502788 1.61119e-05 9.13221e-05 -20.8 -20.75
-20.725 0.000530232 1.51915e-05 9.56406e-05 -20.75 -20.7
-20.675 0.000558617 1.50431e-05 9.84616e-05 -20.7 -20.65
-20.625 0.00058804 1.52751e-05 0.000102994 -20.65 -20.6
-20.575 0.000618563 1.26408e-05 0.000109084 -20.6 -20.55
-20.525 0.00065019 1.10864e-05 0.000115033 -20.55 -20.5
-20.475 0.000682871 1.30869e-05 0.000121214 -20.5 -20.45
-20.425 0.000716517 1.19728e-05 0.000125985 -20.45 -20.4
-20.375 0.000751039 1.06114e-05 0.000131187 -20.4 -20.35
-20.325 0.000786378 1.27242e-05 0.000135795 -20.35 -20.3
-20.275 0.000822533 1.05737e-05 0.000140173 -20.3 -20.25
-20.225 0.000859552 1.22545e-05 0.000145975 -20.25 -20.2
-20.175 0.000897516 9.33175e-06 0.000150984 -20.2 -20.15
-20.125 0.000936508 3.8007e-06 0.000154816 -20.15 -20.1
-20.075 0.000976589 1.75866e-06 0.000160693 -20.1 -20.05
-20.025 0.0010178 0 0.000166617 -20.05 -20
-19.975 0.00106016 0 0.000172315 -20 -19.95
-19.925 0.00110372 1.74706e-07 0.00017737 -19.95 -19.9
-19.875 0.00114851 3.84236e-06 0.000184478 -19.9 -19.85
-19.825 0.00119462 4.74429e-06 0.00019073 -19.85 -19.8
-19.775 0.00124209 3.18117e-06 0.000196364 -19.8 -19.75
-19.725 0.00129092 9.81028e-06 0.000202878 -19.75 -19.7
-19.675 0.0013411 1.23786e-05 0.000210563 -19.7 -19.65
-19.625 0.00139253 1.49882e-05 0.000220167 -19.65 -19.6
-19.575 0.0014451 1.89475e-05 0.000225345 -19.6 -19.55
-19.525 0.00149872 1.64058e-05 0.000233338 -19.55 -19.5
-19.475 0.00155332 1.64393e-05 0.000240777 -19.5 -19.45
-19.425 0.00160888 1.68233e-05 0.000246852 -19.45 -19.4
-19.375 0.00166544 2.95132e-05 0.000252597 -19.4 -19.35
-19.325 0.00172304 3.29651e-05 0.000256408 -19.35 -19.3
-19.275 0.00178182 3.62023e-05 0.000261585 -19.3 -19.25
-19.225 0.00184198 4.1112e-05 0.000261045 -19.25 -19.2
-19.175 0.00190377 4.24778e-05 0.000263704 -19.2 -19.15
-19.125 0.00196749 4.86359e-05 0.00026774 -19.15 -19.1
-19.075 0.00203342 5.61992e-05 0.00027875 -19.1 -19.05
-19.025 0.00210178 6.39283e-05 0.000289058 -19.05 -19
-18.975 0.00217267 7.18463e-05 0.000305485 -19 -18.95
-18.925 0.00224605 8.03441e-05 0.000316662 -18.95 -18.9
-18.875 0.00232179 8.76754e-05 0.000327748 -18.9 -18.85
-18.825 0.00239975 9.08923e-05 0.00033867 -18.85 -18.8
-18.775 0.00247978 9.13254e-05 0.000350768 -18.8 -18.75
-18.725 0.00256182 9.92389e-05 0.000361082 -18.75 -18.7
-18.675 0.00264583 0.000109879 0.000371973 -18.7 -18.65
-18.625 0.00273185 0.000122021 0.000382539 -18.65 -18.6
