#Observed UV luminosities (including dust) are M_1500 [AB].
#Note: Dust corrections are uncalibrated at z<4, so UV luminosities may be incorrect.
#Number densities are in comoving Mpc^-3 mag^-1.
#UV_Center Number_Density Err+ Err- UV_Min UV_Max
-23.975 9.86548e-15 2.24936e-10 0 -24 -23.95
-23.925 3.90168e-14 5.04751e-10 0 -23.95 -23.9
-23.875 1.45423e-13 1.0674e-09 0 -23.9 -23.85
-23.825 5.11047e-13 2.12843e-09 0 -23.85 -23.8
-23.775 1.69422e-12 4.00527e-09 0 -23.8 -23.75
-23.725 5.302e-12 7.12104e-09 0 -23.75 -23.7
-23.675 1.56747e-11 1.23659e-08 0 -23.7 -23.65
-23.625 4.38164e-11 1.99228e-08 0 -23.65 -23.6
-23.575 1.15936e-10 3.19303e-08 0 -23.6 -23.55
-23.525 2.90725e-10 4.6084e-08 0 -23.55 -23.5
-23.475 6.91942e-10 7.01189e-08 1.10638e-11 -23.5 -23.45
-23.425 1.56573e-09 9.56817e-08 9.22724e-11 -23.45 -23.4
-23.375 3.37492e-09 1.35938e-07 3.4591e-10 -23.4 -23.35
-23.325 6.94479e-09 2.03514e-07 8.93377e-10 -23.35 -23.3
-23.275 1.36754e-08 2.97821e-07 1.99693e-09 -23.3 -23.25
-23.225 2.58347e-08 4.04001e-07 4.29058e-09 -23.25 -23.2
-23.175 4.69448e-08 5.74885e-07 1.09482e-08 -23.2 -23.15
-23.125 8.22626e-08 7.97229e-07 2.72588e-08 -23.15 -23.1
-23.075 1.39346e-07 1.12365e-06 5.11108e-08 -23.1 -23.05
-23.025 2.28664e-07 1.53465e-06 9.10487e-08 -23.05 -23
-22.975 3.64185e-07 2.01635e-06 1.57891e-07 -23 -22.95
-22.925 5.63835e-07 2.61631e-06 2.3523e-07 -22.95 -22.9
-22.875 8.49738e-07 3.31074e-06 3.46868e-07 -22.9 -22.85
-22.825 1.24821e-06 3.91927e-06 5.07285e-07 -22.85 -22.8
-22.775 1.78957e-06 4.54263e-06 6.86538e-07 -22.8 -22.75
-22.725 2.50802e-06 5.56915e-06 9.06293e-07 -22.75 -22.7
-22.675 3.4417e-06 6.28284e-06 1.18103e-06 -22.7 -22.65
-22.625 4.63296e-06 7.31412e-06 1.52937e-06 -22.65 -22.6
-22.575 6.12861e-06 8.34925e-06 1.87188e-06 -22.6 -22.55
-22.525 7.9792e-06 9.57302e-06 2.27334e-06 -22.55 -22.5
-22.475 1.02369e-05 1.05105e-05 2.56332e-06 -22.5 -22.45
-22.425 1.29513e-05 1.14859e-05 3.1299e-06 -22.45 -22.4
-22.375 1.61641e-05 1.21635e-05 3.79021e-06 -22.4 -22.35
-22.325 1.99033e-05 1.26701e-05 4.44882e-06 -22.35 -22.3
-22.275 2.41798e-05 1.27225e-05 4.97872e-06 -22.3 -22.25
-22.225 2.89875e-05 1.28454e-05 5.85715e-06 -22.25 -22.2
-22.175 3.43062e-05 1.27979e-05 7.00481e-06 -22.2 -22.15
-22.125 4.0108e-05 1.26498e-05 7.85931e-06 -22.15 -22.1
-22.075 4.63647e-05 1.32452e-05 9.23828e-06 -22.1 -22.05
-22.025 5.30537e-05 1.37702e-05 9.62651e-06 -22.05 -22
-21.975 6.01624e-05 1.28165e-05 1.06175e-05 -22 -21.95
