#Observed UV luminosities (including dust) are M_1500 [AB].
#Note: Dust corrections are uncalibrated at z<4, so UV luminosities may be incorrect.
#Number densities are in comoving Mpc^-3 mag^-1.
#UV_Center Number_Density Err+ Err- UV_Min UV_Max
-23.975 0 0 0 -24 -23.95
-23.925 0 0 0 -23.95 -23.9
-23.875 0 0 0 -23.9 -23.85
-23.825 0 0 0 -23.85 -23.8
-23.775 0 0 0 -23.8 -23.75
-23.725 0 0 0 -23.75 -23.7
-23.675 0 0 0 -23.7 -23.65
-23.625 0 0 0 -23.65 -23.6
-23.575 0 0 0 -23.6 -23.55
-23.525 0 0 0 -23.55 -23.5
-23.475 0 0 0 -23.5 -23.45
-23.425 0 0 0 -23.45 -23.4
-23.375 0 0 0 -23.4 -23.35
-23.325 0 0 0 -23.35 -23.3
-23.275 0 0 0 -23.3 -23.25
-23.225 0 0 0 -23.25 -23.2
-23.175 0 0 0 -23.2 -23.15
-23.125 0 0 0 -23.15 -23.1
-23.075 0 0 0 -23.1 -23.05
-23.025 0 0 0 -23.05 -23
-22.975 0 0 0 -23 -22.95
-22.925 0 8.31815e-25 0 -22.95 -22.9
-22.875 0 9.01988e-23 0 -22.9 -22.85
-22.825 0 6.14041e-22 0 -22.85 -22.8
-22.775 0 4.31813e-21 0 -22.8 -22.75
-22.725 0 2.88023e-20 0 -22.75 -22.7
-22.675 0 1.80544e-19 0 -22.7 -22.65
-22.625 0 1.06313e-18 0 -22.65 -22.6
-22.575 0 5.88449e-18 0 -22.6 -22.55
-22.525 0 3.06146e-17 0 -22.55 -22.5
-22.475 0 1.49715e-16 0 -22.5 -22.45
-22.425 0 6.88252e-16 0 -22.45 -22.4
-22.375 0 2.97442e-15 0 -22.4 -22.35
-22.325 0 1.20855e-14 0 -22.35 -22.3
-22.275 0 4.61716e-14 0 -22.3 -22.25
-22.225 0 1.65874e-13 0 -22.25 -22.2
-22.175 0 5.60443e-13 0 -22.2 -22.15
-22.125 0 1.78114e-12 0 -22.15 -22.1
-22.075 5.3395e-23 5.32541e-12 5.3395e-23 -22.1 -22.05
-22.025 3.85788e-22 1.49827e-11 3.85788e-22 -22.05 -22
-21.975 2.69341e-21 3.96751e-11 2.69341e-21 -22 -21.95
-21.925 1.85291e-20 9.89163e-11 1.85291e-20 -21.95 -21.9
-21.875 1.1945e-19 2.32272e-10 1.1945e-19 -21.9 -21.85
-21.825 7.23639e-19 5.13924e-10 7.23639e-19 -21.85 -21.8
-21.775 4.12226e-18 1.07204e-09 4.12226e-18 -21.8 -21.75
-21.725 2.20811e-17 2.10973e-09 2.20811e-17 -21.75 -21.7
-21.675 1.11225e-16 3.9799e-09 1.11225e-16 -21.7 -21.65
-21.625 5.26868e-16 7.25761e-09 5.26868e-16 -21.65 -21.6
-21.575 2.34721e-15 1.2504e-08 2.34721e-15 -21.6 -21.55
-21.525 9.83521e-15 2.03782e-08 9.83521e-15 -21.55 -21.5
-21.475 3.87647e-14 3.14614e-08 3.87647e-14 -21.5 -21.45
-21.425 1.43732e-13 4.60906e-08 1.43732e-13 -21.45 -21.4
-21.375 5.01405e-13 6.27819e-08 5.01405e-13 -21.4 -21.35
-21.325 1.64589e-12 8.51813e-08 1.64589e-12 -21.35 -21.3
-21.275 5.08471e-12 1.06783e-07 5.08471e-12 -21.3 -21.25
-21.225 1.47867e-11 1.29262e-07 1.47867e-11 -21.25 -21.2
-21.175 4.04881e-11 1.48028e-07 4.04881e-11 -21.2 -21.15
-21.125 1.04416e-10 1.61601e-07 1.04416e-10 -21.15 -21.1
-21.075 2.53719e-10 1.76079e-07 2.53719e-10 -21.1 -21.05
-21.025 5.81165e-10 1.89188e-07 5.81165e-10 -21.05 -21
-20.975 1.25565e-09 2.05437e-07 1.25565e-09 -21 -20.95
-20.925 2.5609e-09 2.32781e-07 2.5609e-09 -20.95 -20.9
-20.875 4.93523e-09 2.68471e-07 4.93523e-09 -20.9 -20.85
-20.825 8.9984e-09 3.20799e-07 8.9984e-09 -20.85 -20.8
-20.775 1.55482e-08 3.94033e-07 1.55482e-08 -20.8 -20.75
-20.725 2.55132e-08 4.66745e-07 2.55132e-08 -20.75 -20.7
-20.675 3.98642e-08 5.53544e-07 3.98642e-08 -20.7 -20.65
-20.625 5.95096e-08 6.44164e-07 5.95096e-08 -20.65 -20.6
-20.575 8.52219e-08 7.3266e-07 8.52218e-08 -20.6 -20.55
-20.525 1.17643e-07 8.65366e-07 1.17643e-07 -20.55 -20.5
-20.475 1.57396e-07 9.83968e-07 1.57395e-07 -20.5 -20.45
-20.425 2.05271e-07 1.13238e-06 2.05269e-07 -20.45 -20.4
-20.375 2.62454e-07 1.32703e-06 2.62446e-07 -20.4 -20.35
-20.325 3.30716e-07 1.49896e-06 3.30691e-07 -20.35 -20.3
-20.275 4.12594e-07 1.8149e-06 4.12522e-07 -20.3 -20.25
-20.225 5.11625e-07 2.05637e-06 5.11436e-07 -20.25 -20.2
-20.175 6.32762e-07 2.25864e-06 6.32305e-07 -20.2 -20.15
-20.125 7.83012e-07 2.47824e-06 7.82035e-07 -20.15 -20.1
-20.075 9.72205e-07 2.65565e-06 9.7023e-07 -20.1 -20.05
-20.025 1.21356e-06 2.84746e-06 1.20979e-06 -20.05 -20
-19.975 1.5236e-06 3.00654e-06 1.51676e-06 -20 -19.95
-19.925 1.92096e-06 3.15302e-06 1.90921e-06 -19.95 -19.9
-19.875 2.42407e-06 3.04515e-06 2.40713e-06 -19.9 -19.85
-19.825 3.04795e-06 3.1864e-06 3.02389e-06 -19.85 -19.8
-19.775 3.8011e-06 3.62339e-06 3.76809e-06 -19.8 -19.75
-19.725 4.68351e-06 3.91688e-06 4.6374e-06 -19.75 -19.7
-19.675 5.68678e-06 4.35202e-06 5.6232e-06 -19.7 -19.65
-19.625 6.79659e-06 4.1117e-06 6.70839e-06 -19.65 -19.6
-19.575 7.99707e-06 3.83067e-06 7.88498e-06 -19.6 -19.55
-19.525 9.27558e-06 4.24896e-06 9.13888e-06 -19.55 -19.5
-19.475 1.06265e-05 4.83193e-06 1.0445e-05 -19.5 -19.45
-19.425 1.20524e-05 5.0237e-06 1.1831e-05 -19.45 -19.4
-19.375 1.35633e-05 5.96811e-06 1.32964e-05 -19.4 -19.35
-19.325 1.51731e-05 5.99542e-06 1.48566e-05 -19.35 -19.3
-19.275 1.68957e-05 6.70424e-06 1.65218e-05 -19.3 -19.25
