#Observed UV luminosities (including dust) are M_1500 [AB].
#Note: Dust corrections are uncalibrated at z<4, so UV luminosities may be incorrect.
#Number densities are in comoving Mpc^-3 mag^-1.
#UV_Center Number_Density Err+ Err- UV_Min UV_Max
-23.975 0 6.78616e-19 0 -24 -23.95
-23.925 0 3.80886e-18 0 -23.95 -23.9
-23.875 0 2.00883e-17 0 -23.9 -23.85
-23.825 0 9.95601e-17 0 -23.85 -23.8
-23.775 0 4.63684e-16 0 -23.8 -23.75
-23.725 0 2.02935e-15 0 -23.75 -23.7
-23.675 0 8.34622e-15 0 -23.7 -23.65
-23.625 0 3.22572e-14 0 -23.65 -23.6
-23.575 0 1.18406e-13 0 -23.6 -23.55
-23.525 0 4.17864e-13 0 -23.55 -23.5
-23.475 3.79853e-23 1.38711e-12 3.79853e-23 -23.5 -23.45
-23.425 2.41308e-22 4.33154e-12 2.41308e-22 -23.45 -23.4
-23.375 1.77852e-21 1.27253e-11 1.77852e-21 -23.4 -23.35
-23.325 1.21363e-20 3.51746e-11 1.21363e-20 -23.35 -23.3
-23.275 7.8392e-20 9.14908e-11 7.8392e-20 -23.3 -23.25
-23.225 4.75072e-19 2.23958e-10 4.75072e-19 -23.25 -23.2
-23.175 2.70735e-18 5.16012e-10 2.70726e-18 -23.2 -23.15
-23.125 1.45012e-17 1.11924e-09 1.45006e-17 -23.15 -23.1
-23.075 7.30185e-17 2.28582e-09 7.30141e-17 -23.1 -23.05
-23.025 3.4566e-16 4.39649e-09 3.4563e-16 -23.05 -23
-22.975 1.53845e-15 7.50557e-09 1.53826e-15 -23 -22.95
-22.925 6.43831e-15 1.20088e-08 6.43716e-15 -22.95 -22.9
-22.875 2.53372e-14 1.79495e-08 2.53308e-14 -22.9 -22.85
-22.825 9.37768e-14 2.54583e-08 9.37429e-14 -22.85 -22.8
-22.775 3.26466e-13 3.43579e-08 3.26299e-13 -22.8 -22.75
-22.725 1.0692e-12 4.42656e-08 1.06842e-12 -22.75 -22.7
-22.675 3.29488e-12 5.46984e-08 3.29147e-12 -22.7 -22.65
-22.625 9.55611e-12 6.49144e-08 9.54206e-12 -22.65 -22.6
-22.575 2.60919e-11 7.41001e-08 2.60374e-11 -22.6 -22.55
-22.525 6.70912e-11 7.76669e-08 6.68919e-11 -22.55 -22.5
-22.475 1.62535e-10 8.49286e-08 1.61848e-10 -22.5 -22.45
-22.425 3.71181e-10 9.17642e-08 3.68954e-10 -22.45 -22.4
-22.375 7.9962e-10 9.2438e-08 7.92808e-10 -22.4 -22.35
-22.325 1.62641e-09 9.84172e-08 1.60676e-09 -22.35 -22.3
-22.275 3.12701e-09 9.99819e-08 3.07363e-09 -22.3 -22.25
-22.225 5.69163e-09 1.03074e-07 5.55688e-09 -22.25 -22.2
-22.175 9.82678e-09 1.05247e-07 9.50681e-09 -22.2 -22.15
-22.125 1.61348e-08 1.05779e-07 1.54039e-08 -22.15 -22.1
-22.075 2.52765e-08 1.05729e-07 2.37283e-08 -22.1 -22.05
-22.025 3.79354e-08 1.1715e-07 3.48355e-08 -22.05 -22
-21.975 5.48128e-08 1.30816e-07 4.89399e-08 -22 -21.95
-21.925 7.66775e-08 1.49866e-07 6.61344e-08 -21.95 -21.9
-21.875 1.0447e-07 1.70282e-07 8.65027e-08 -21.9 -21.85
-21.825 1.39426e-07 1.95769e-07 1.1029e-07 -21.85 -21.8
