#Observed UV luminosities (including dust) are M_1500 [AB].
#Note: Dust corrections are uncalibrated at z<4, so UV luminosities may be incorrect.
#Number densities are in comoving Mpc^-3 mag^-1.
#UV_Center Number_Density Err+ Err- UV_Min UV_Max
-23.975 4.15632e-18 7.39929e-13 3.6867e-18 -24 -23.95
-23.925 2.27816e-17 2.45145e-12 1.99668e-17 -23.95 -23.9
-23.875 1.17446e-16 7.65629e-12 1.01552e-16 -23.9 -23.85
-23.825 5.69546e-16 2.25509e-11 4.8512e-16 -23.85 -23.8
-23.775 2.59854e-15 6.26716e-11 2.17657e-15 -23.8 -23.75
-23.725 1.11564e-14 1.64432e-10 9.19624e-15 -23.75 -23.7
-23.675 4.50828e-14 3.915e-10 3.66227e-14 -23.7 -23.65
-23.625 1.71518e-13 9.04483e-10 1.37137e-13 -23.65 -23.6
-23.575 6.14555e-13 1.95276e-09 4.81248e-13 -23.6 -23.55
-23.525 2.0746e-12 3.94451e-09 1.58577e-12 -23.55 -23.5
-23.475 6.60127e-12 7.15598e-09 4.98757e-12 -23.5 -23.45
-23.425 1.98098e-11 1.22384e-08 1.46467e-11 -23.45 -23.4
-23.375 5.61009e-11 2.23331e-08 4.05045e-11 -23.4 -23.35
-23.325 1.50048e-10 3.28512e-08 1.0672e-10 -23.35 -23.3
-23.275 3.79357e-10 5.01139e-08 2.66272e-10 -23.3 -23.25
-23.225 9.07572e-10 7.22699e-08 6.09147e-10 -23.25 -23.2
-23.175 2.05711e-09 1.03972e-07 1.32482e-09 -23.2 -23.15
-23.125 4.42376e-09 1.5084e-07 2.75533e-09 -23.15 -23.1
-23.075 9.04039e-09 1.89172e-07 5.43566e-09 -23.1 -23.05
-23.025 1.75892e-08 2.46779e-07 1.01367e-08 -23.05 -23
-22.975 3.26491e-08 3.3941e-07 1.75664e-08 -23 -22.95
-22.925 5.79523e-08 4.54917e-07 2.98312e-08 -22.95 -22.9
-22.875 9.86155e-08 5.92554e-07 4.99166e-08 -22.9 -22.85
-22.825 1.61317e-07 7.34923e-07 7.92193e-08 -22.85 -22.8
-22.775 2.54401e-07 8.8401e-07 1.21887e-07 -22.8 -22.75
-22.725 3.87902e-07 1.08554e-06 1.727e-07 -22.75 -22.7
-22.675 5.73485e-07 1.32686e-06 2.45364e-07 -22.7 -22.65
-22.625 8.24264e-07 1.50217e-06 3.43278e-07 -22.65 -22.6
-22.575 1.15444e-06 1.72904e-06 4.88574e-07 -22.6 -22.55
-22.525 1.57864e-06 1.94754e-06 6.08322e-07 -22.55 -22.5
-22.475 2.11102e-06 2.16069e-06 7.92121e-07 -22.5 -22.45
-22.425 2.7641e-06 2.32667e-06 9.57628e-07 -22.45 -22.4
-22.375 3.5478e-06 2.46597e-06 1.15568e-06 -22.4 -22.35
-22.325 4.46893e-06 2.65317e-06 1.40306e-06 -22.35 -22.3
-22.275 5.53154e-06 2.69175e-06 1.63872e-06 -22.3 -22.25
-22.225 6.73816e-06 2.67195e-06 1.9246e-06 -22.25 -22.2
-22.175 8.09166e-06 2.6801e-06 2.24494e-06 -22.2 -22.15
-22.125 9.59712e-06 2.92075e-06 2.4338e-06 -22.15 -22.1
-22.075 1.12631e-05 3.22556e-06 2.7119e-06 -22.1 -22.05
-22.025 1.31026e-05 3.43799e-06 2.90664e-06 -22.05 -22
-21.975 1.51323e-05 3.52392e-06 3.16688e-06 -22 -21.95
-21.925 1.73727e-05 3.80443e-06 3.40389e-06 -21.95 -21.9
-21.875 1.98463e-05 3.96883e-06 3.69682e-06 -21.9 -21.85
-21.825 2.25759e-05 4.23765e-06 4.04207e-06 -21.85 -21.8
-21.775 2.55822e-05 4.61061e-06 4.35998e-06 -21.8 -21.75
-21.725 2.88824e-05 4.78324e-06 4.7234e-06 -21.75 -21.7
-21.675 3.24892e-05 5.0136e-06 5.05588e-06 -21.7 -21.65
-21.625 3.64122e-05 5.33338e-06 5.32565e-06 -21.65 -21.6
-21.575 4.06606e-05 5.81376e-06 5.84563e-06 -21.6 -21.55
-21.525 4.52471e-05 5.81657e-06 6.48353e-06 -21.55 -21.5
-21.475 5.019e-05 5.97836e-06 7.13307e-06 -21.5 -21.45
-21.425 5.55144e-05 6.55602e-06 7.60585e-06 -21.45 -21.4
-21.375 6.12512e-05 6.84104e-06 8.48034e-06 -21.4 -21.35
-21.325 6.74347e-05 7.20388e-06 9.36838e-06 -21.35 -21.3
-21.275 7.41007e-05 7.37275e-06 1.02895e-05 -21.3 -21.25
-21.225 8.12846e-05 7.60037e-06 1.14836e-05 -21.25 -21.2
-21.175 8.90199e-05 8.70132e-06 1.24936e-05 -21.2 -21.15
-21.125 9.7337e-05 9.25411e-06 1.35749e-05 -21.15 -21.1
-21.075 0.000106261 9.75845e-06 1.46242e-05 -21.1 -21.05
-21.025 0.000115808 9.78441e-06 1.57288e-05 -21.05 -21
