#Observed UV luminosities (including dust) are M_1500 [AB].
#Note: Dust corrections are uncalibrated at z<4, so UV luminosities may be incorrect.
#Number densities are in comoving Mpc^-3 mag^-1.
#UV_Center Number_Density Err+ Err- UV_Min UV_Max
-23.975 0 0 0 -24 -23.95
-23.925 0 0 0 -23.95 -23.9
-23.875 0 0 0 -23.9 -23.85
-23.825 0 0 0 -23.85 -23.8
-23.775 0 0 0 -23.8 -23.75
-23.725 0 0 0 -23.75 -23.7
-23.675 0 0 0 -23.7 -23.65
-23.625 0 0 0 -23.65 -23.6
-23.575 0 0 0 -23.6 -23.55
-23.525 0 0 0 -23.55 -23.5
-23.475 0 0 0 -23.5 -23.45
-23.425 0 0 0 -23.45 -23.4
-23.375 0 0 0 -23.4 -23.35
-23.325 0 0 0 -23.35 -23.3
-23.275 0 0 0 -23.3 -23.25
-23.225 0 0 0 -23.25 -23.2
-23.175 0 0 0 -23.2 -23.15
-23.125 0 0 0 -23.15 -23.1
-23.075 0 0 0 -23.1 -23.05
-23.025 0 0 0 -23.05 -23
-22.975 0 0 0 -23 -22.95
-22.925 0 2.23417e-23 0 -22.95 -22.9
-22.875 0 1.14525e-22 0 -22.9 -22.85
-22.825 0 9.11508e-22 0 -22.85 -22.8
-22.775 0 6.37124e-21 0 -22.8 -22.75
-22.725 0 4.19923e-20 0 -22.75 -22.7
-22.675 0 2.59812e-19 0 -22.7 -22.65
-22.625 0 1.51162e-18 0 -22.65 -22.6
-22.575 0 8.2661e-18 0 -22.6 -22.55
-22.525 0 4.24891e-17 0 -22.55 -22.5
-22.475 0 2.05304e-16 0 -22.5 -22.45
-22.425 0 9.32581e-16 0 -22.45 -22.4
-22.375 0 3.98266e-15 0 -22.4 -22.35
-22.325 0 1.59916e-14 0 -22.35 -22.3
-22.275 0 6.03787e-14 0 -22.3 -22.25
-22.225 0 2.14383e-13 0 -22.25 -22.2
-22.175 0 7.15923e-13 0 -22.2 -22.15
-22.125 2.23417e-23 2.24888e-12 2.23417e-23 -22.15 -22.1
-22.075 1.62381e-22 6.64593e-12 1.62381e-22 -22.1 -22.05
-22.025 1.21459e-21 1.84803e-11 1.21459e-21 -22.05 -22
-21.975 8.38444e-21 4.83623e-11 8.38444e-21 -22 -21.95
-21.925 5.46458e-20 1.19136e-10 5.46458e-20 -21.95 -21.9
-21.875 3.34616e-19 2.76323e-10 3.34616e-19 -21.9 -21.85
-21.825 1.92536e-18 6.03588e-10 1.92536e-18 -21.85 -21.8
-21.775 1.04101e-17 1.24204e-09 1.04101e-17 -21.8 -21.75
-21.725 5.28924e-17 2.40841e-09 5.28924e-17 -21.75 -21.7
-21.675 2.52536e-16 4.40216e-09 2.52536e-16 -21.7 -21.65
-21.625 1.13305e-15 7.58728e-09 1.13305e-15 -21.65 -21.6
-21.575 4.77714e-15 1.27376e-08 4.77714e-15 -21.6 -21.55
-21.525 1.89273e-14 2.18293e-08 1.89273e-14 -21.55 -21.5
-21.475 7.04708e-14 3.2083e-08 7.04708e-14 -21.5 -21.45
-21.425 2.46567e-13 4.37396e-08 2.46567e-13 -21.45 -21.4
-21.375 8.10723e-13 5.89252e-08 8.10723e-13 -21.4 -21.35
-21.325 2.5051e-12 6.70403e-08 2.5051e-12 -21.35 -21.3
-21.275 7.27454e-12 7.29423e-08 7.27454e-12 -21.3 -21.25
-21.225 1.9853e-11 7.71262e-08 1.9853e-11 -21.25 -21.2
-21.175 5.09219e-11 8.3549e-08 5.09219e-11 -21.2 -21.15
-21.125 1.22765e-10 8.68439e-08 1.22765e-10 -21.15 -21.1
-21.075 2.78211e-10 9.07887e-08 2.78211e-10 -21.1 -21.05
-21.025 5.92752e-10 1.03069e-07 5.92752e-10 -21.05 -21
-20.975 1.18759e-09 1.14271e-07 1.18759e-09 -21 -20.95
-20.925 2.23818e-09 1.31217e-07 2.23818e-09 -20.95 -20.9
-20.875 3.9699e-09 1.54613e-07 3.9699e-09 -20.9 -20.85
-20.825 6.63195e-09 1.84063e-07 6.63195e-09 -20.85 -20.8
-20.775 1.04463e-08 2.12637e-07 1.04463e-08 -20.8 -20.75
-20.725 1.55403e-08 2.56098e-07 1.55403e-08 -20.75 -20.7
-20.675 2.18869e-08 3.09605e-07 2.18869e-08 -20.7 -20.65
-20.625 2.92867e-08 3.4007e-07 2.92867e-08 -20.65 -20.6
-20.575 3.74194e-08 4.01084e-07 3.74194e-08 -20.6 -20.55
-20.525 4.59693e-08 4.83963e-07 4.59693e-08 -20.55 -20.5
-20.475 5.47951e-08 6.26872e-07 5.47951e-08 -20.5 -20.45
-20.425 6.40915e-08 7.87067e-07 6.40915e-08 -20.45 -20.4
-20.375 7.44987e-08 9.40682e-07 7.44987e-08 -20.4 -20.35
-20.325 8.71537e-08 1.13811e-06 8.71537e-08 -20.35 -20.3
-20.275 1.03723e-07 1.39326e-06 1.03723e-07 -20.3 -20.25
-20.225 1.26477e-07 1.60868e-06 1.26477e-07 -20.25 -20.2
-20.175 1.58423e-07 1.94466e-06 1.58423e-07 -20.2 -20.15
-20.125 2.03471e-07 2.25259e-06 2.03471e-07 -20.15 -20.1
-20.075 2.66535e-07 2.48985e-06 2.66535e-07 -20.1 -20.05
-20.025 3.53513e-07 2.81856e-06 3.53513e-07 -20.05 -20
-19.975 4.71132e-07 3.04326e-06 4.71132e-07 -20 -19.95
-19.925 6.2675e-07 3.26715e-06 6.26747e-07 -19.95 -19.9
-19.875 8.2817e-07 3.64481e-06 8.28163e-07 -19.9 -19.85
-19.825 1.08349e-06 3.95168e-06 1.08347e-06 -19.85 -19.8
-19.775 1.40085e-06 4.10006e-06 1.40079e-06 -19.8 -19.75
-19.725 1.788e-06 4.18921e-06 1.78784e-06 -19.75 -19.7
-19.675 2.25161e-06 4.43326e-06 2.25121e-06 -19.7 -19.65
-19.625 2.79658e-06 4.81942e-06 2.79568e-06 -19.65 -19.6
-19.575 3.42568e-06 4.69897e-06 3.4237e-06 -19.6 -19.55
-19.525 4.13975e-06 5.1575e-06 4.13565e-06 -19.55 -19.5
-19.475 4.93863e-06 5.65225e-06 4.93063e-06 -19.5 -19.45
-19.425 5.82258e-06 5.87123e-06 5.80773e-06 -19.45 -19.4
-19.375 6.79338e-06 5.79339e-06 6.76722e-06 -19.4 -19.35
-19.325 7.85495e-06 5.64793e-06 7.81494e-06 -19.35 -19.3
